school_ID,school_name,n_test_takers,mean_reading_score,mean_math_score,mean_writing_score
16W945,Tomball College,725,399,323,405
06L223,Universidade Moderna de Lisboa,79,473,373,424
96U190,Tribhuvan University Kathmandu,59,350,449,451
60M558,Tokyo Keizai University,52,427,352,448
34F737,Universitas Udayana,67,448,457,449
06G906,William Mitchell College of Law,58,321,421,447
10G698,Black Hills State University,31,433,237,390
21B826,Nagoya University of Foreign Studies,59,462,362,498
86P316,Brest State Technical University,17,399,378,339
67A244,European University Institute,531,387,352,393
13D367,Shanghai City College,90,446,452,398
15M128,University of Vaasa,71,307,489,381
45U690,Universidad Católica San Antonio,56,466,385,345
75X824,University of Divinity,140,412,467,432
28W383,Center for Entrepreneurship and Small Business Management,136,319,385,457
03I982,"University of Eastern Africa, Baraton",31,404,437,545
81M637,Uinversity of Babylon,29,451,351,413
61J806,Institute for the Economy in Transition,86,295,357,396
62F232,Technological University (Dawei),58,344,542,385
71W601,Kutztown University of Pennsylvania,49,336,373,319
15Z034,Steinbeis-Hochschule-Berlin,74,375,383,405
95N052,Okanagan University College,62,469,368,303
98X035,Jadavpur University,301,409,379,393
63O672,Weizmann Institute of Science,216,385,367,380
94Y451,Institut Teknologi Brunei,52,262,385,350
84C251,University of Pennsylvania,29,281,488,475
90G255,Health sciences University of Mongolia,50,354,378,553
24X736,Southwest University,683,427,527,486
18B936,University of the Punjab,13,362,351,409
35I313,"National Academy of Music ""Pantcho Vladigerov""",154,435,571,261
65W053,Bishop's University,128,439,365,585
31P572,Technological University (Myeik),31,269,503,412
06T361,University of Seychelles,143,416,368,324
60I251,Sabaragamuwa University of Sri Lanka,237,305,278,296
93B180,"University ""Aurel Vlaicu"" Arad",87,343,511,331
89F263,Senzoku Gakuen College,698,433,348,413
05U169,Winthrop University,29,477,538,526
04K767,Hogere Zeevaartschool - Maritime Academy,86,429,415,438
04W467,Politeknik Pos Indonesia,108,306,369,358
14I899,Southwestern Adventist University,170,437,460,433
40U519,"Fachhochschule Ludwigshafen, Hochschule für Wirtschaft",65,354,388,471
13O757,University of Da Lat,33,431,428,413
46U623,Universidad Insurgentes Plantel León,70,359,392,462
56U689,Acharya Ranga Agricultural University,686,409,267,392
66R750,Universidad Católica de Santiago del Estero,108,472,384,455
57O797,Tampere Polytechnic,9,468,439,384
50A101,School of Education Pisa,17,424,555,367
67V352,"Universidad Pedagógica Nacional ""Francisco Morazán""",90,370,463,428
62K643,Dares Salaam Institute of Technology,48,421,431,430
21K312,Institut Supérieure d'Electronique du Nord,28,405,508,438
16I674,Pontificia Università della Santa Croce,21,452,449,281
93C967,Texas A&M University - Texarkana,43,481,547,351
26H068,Delijan Payame Noor University,32,375,442,422
23Q907,Mountain View College,147,392,463,381
27J955,Missouri Baptist College,43,362,424,454
33R349,International University of Africa (IUA),124,385,438,380
65F732,Benadir University,317,427,457,574
03F404,Southern Connecticut State University,113,461,385,326
35T246,Triton College,9,481,459,315
15G082,Université Centrale,75,535,434,356
50D095,Centro Universitário Serra dos Órgãos,33,412,459,400
73E700,Tokuyama University,140,365,460,461
38J213,Balqa Applied University,54,480,313,327
48W684,Universitas Kristen Satya Wacana,60,418,406,289
61J635,Instituts Supérieurs des Etudes Technologiques,144,273,406,354
79A199,Ecole Mohammadia d'Ingénieurs,108,353,432,400
64P684,"Islamic Azad University, Central Tehran Branch",10,393,478,366
51L203,Lebanon Valley College,35,442,351,461
01A634,Shaheed Zulifkar Ali Bhutto Institute of Science and Technology,36,524,468,322
00Q616,Universidad Nacional de Ingeniería,56,424,445,460
79C739,Beijing Language and Culture University,26,385,378,442
31P641,University of Aberdeen,59,425,453,495
99A975,"Davenport College of Business, Kalamazoo",26,446,411,490
84O351,"National Chung Hsing University, Taichung",498,420,561,338
12S321,University of Tennessee - Chattanooga,130,452,513,422
70G029,Universidad Columbia del Paraguay,732,404,258,299
57N951,"University of Vlora ""Ismail Qemali""",289,387,449,429
91D648,Belmont Abbey College,86,522,472,386
11N058,Finance Academy,269,393,222,388
36P015,The Kingdom University,581,363,361,432
39V998,Huron University,36,323,384,427
48R117,St. Andrew Georgian University,45,379,305,427
88M023,"University of Maine, Presque Isle",104,373,410,337
77U338,University of Adelaide,50,449,447,410
43W435,Agricultural University of Athens,397,408,419,316
57U892,Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy,75,388,534,440
95S760,Pontifícia Universidade Católica de Minas Gerais,73,391,385,392
06N191,Evangelische Hochschule für Soziale Arbeit Dresden (FH),55,481,458,340
85M977,Mary Baldwin College,23,357,412,366
52I745,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,30,347,472,398
44G162,School of Banking and Management in Cracow,56,435,545,436
50K257,Karachi School of Art,448,361,376,375
65U281,Indiana University - Southeast,46,303,409,356
45I703,Divine Word College of Legazpi,141,416,460,464
05J542,"Islamic Azad University, Saveh",113,459,397,495
71D901,Universidade Federal de Santa Maria,81,381,356,308
05U622,Hakuoh University,16,403,519,362
69R176,Université de Mostaganem,36,421,464,357
42K573,Hamline University,29,490,435,278
75Q384,Jacksonville University,18,379,405,424
43Z366,ABTI American University of Nigeria,19,419,431,430
87K059,Fachhochschule Weihenstephan,88,343,370,394
99D247,Universidad Fundepos Alma Mater,43,262,444,493
08I681,Wake Forest University,31,396,504,411
55F657,University of National and World Economy,46,488,300,299
19F259,Université Catholique de Lyon,31,283,506,420
59A765,Charles R. Drew University of Medicine and Science,732,503,426,411
29T501,Carnegie Mellon University,50,381,405,364
08D207,University of Technology,16,371,476,387
40P840,University of Health Sciences Andhra Pradesh,46,458,288,386
39S849,Instituto Superior Novas Profissões - INP,69,407,409,369
16N885,"Royal Danish Academy of Fine Arts, School of Architecture",74,382,317,434
16H147,"California State University, San Bernadino",65,488,475,409
12V407,Universidad Diego Portales,13,381,417,306
84D470,"Maharaja Ganga Singh University, Bikaner",22,509,351,395
61D088,United States Military Academy,47,411,440,403
09N622,Korea National Open University,31,442,321,468
78J257,IMPAC University,106,503,364,429
35J504,Colby College,302,418,416,418
83X712,University of the Humanities,529,385,398,522
11H326,Roberts Wesleyan College,43,434,364,401
93I032,Wesleyan University,102,502,461,337
19K102,Tilburg University,216,504,297,289
19E647,Humboldt Universität Berlin,79,334,501,370
06H353,Politeknik Negeri Lhokseumawe,282,448,502,341
97F517,Catholic University of Malawi,42,391,421,406
83X579,Jones College,75,330,506,294
53F447,"Florida Metropolitan University, Tampa College Lakeland",42,371,441,386
04N665,Guru Nanak Dev University,49,425,427,471
93U597,Universidade Estadual Paulista,42,423,325,288
06Z499,Crimea State Medical University,732,317,369,314
71R081,Auckland University of Technology,278,285,404,481
65A491,Punjabi University Patiala,55,373,577,414
09A164,Takoradi Polytechnic ,10,387,472,346
