school_ID,school_name,n_test_takers,mean_writing_score,offset1,mean_reading_score,offset2,mean_math_score
62P870,"Universidad Latinoamericana de Ciencia y Tecnologia, Panamá",212,359,-8,359,-21,349
53Y499,Dongbei University of Finance And Economics,42,340,-10,339,-13,336
63M043,Banking University of Ho Chi Minh City,92,428,17,450,39,491
52U809,Holmes Institute,63,408,22,436,19,454
03J901,University of Mindanao,49,398,14,419,44,464
10W575,Yangzhou University,51,357,14,379,-10,369
02V748,Universitas Tanjungpura,641,351,9,368,14,384
97P597,Vongchavalitkul University,86,295,-6,299,-7,299
20R308,Beijing University of Agriculture,75,426,-16,415,31,464
10R253,College of Notre Dame,71,352,11,371,-56,316
62O104,University of Maryland Medicine,51,387,-8,386,16,414
74P463,Universidade Gama Filho,302,372,4,384,-13,376
09C204,Tamkang University,15,409,14,429,34,466
70Z524,Universidad Surcolombiana,125,331,6,346,-8,340
47D121,Pacific Northwest College of Art,46,427,-4,428,35,475
89J602,Dong Yang University of Technology,18,408,-1,413,43,465
43O028,Kentucky State University,71,619,0,617,32,669
13C349,Ecole Nationale Supérieure de Physique de Strasbourg,66,388,-5,390,-19,382
69K905,Palestine Technical College-Dier Elbalah,81,344,-8,345,-5,349
65N504,Yasuj University,53,376,5,388,-64,329
88G841,University of the Assumption,67,454,-9,449,4,468
66A109,Northern Arizona University,105,418,8,432,21,459
05Y151,Fachhochschule Brandenburg,63,362,13,383,-37,346
43M022,Purbanchal University,66,401,0,407,3,419
14B194,Chuka University,50,345,-3,351,21,379
27L169,Nishinippon Institute of Technology,397,469,10,483,-4,486
80M401,Université de Djibouti,18,306,2,318,-57,264
38M036,Victoria University,49,373,5,385,-52,338
90K023,Chiba Institute of Technology,29,301,-1,310,17,331
66X157,Higher School of Economics,75,305,1,316,-3,316
84T943,St. John's University,49,345,-9,345,-15,340
70L154,Universidad Nacional de Loja,75,350,12,370,4,375
58A186,Universidad México Internacional,14,378,-5,380,31,421
74Q526,Mimar Sinan University,19,330,-24,315,7,339
05Y045,University of Toledo,116,463,0,467,42,521
05W414,Institut Textile et Chimique de Lyon,46,432,4,441,4,453
35M636,Les Roches Gruyère University of Applied Sciences,41,370,8,386,4,393
76A344,Osaka City University,10,459,-22,441,28,491
94J432,Knoxville College,40,327,16,352,-27,322
81Z224,Danville Area Community College,41,281,-5,287,-13,279
39X753,Universidad La Salle,75,439,-2,442,17,470
33R151,King Khaled University,66,383,-16,374,11,400
14T143,Suzuka International University,14,256,-2,266,-37,232
09N511,Universidad Mariana,686,355,5,368,43,415
51F509,Elms College,113,518,-3,517,45,577
99G282,Notre Dame of Marbel University,29,356,14,378,36,414
69C578,Jiaying University,46,421,3,430,-11,427
46X299,"Philosophisch-Theologisches Studium Erfurt, Staatlich anerkannte Wissenschaftliche Hochschule",17,424,-29,401,-10,414
28D230,"California State University, Bakersfield",52,414,-19,401,-23,396
56V330,Fuji University,627,303,31,344,42,375
22T948,University of Colorado Health Sciences Center,87,338,-12,335,-12,334
43S038,Qurtuba University of Science and Infromation Technology,397,486,-22,467,-11,479
81D706,"Politécnico Columbiano ""Jaime Isaza Cadavid""",686,366,-7,367,6,383
65N257,Utsunomiya University,92,306,-5,311,-3,314
70C161,Kalinga University,67,396,0,403,-6,405
88T087,The Catholic University of America,287,373,9,389,40,432
64P799,"University College of Arts, Crafts and Design",192,338,-22,325,39,380
03K219,Universidad Monsenor Oscar Arnulfo Romeo,42,459,-7,456,36,507
22X479,Universidad Católica de Salta,54,352,8,368,-2,369
37P639,Wuhan Transportation University,627,408,19,433,2,435
53U434,Instituto Politécnico de Lisboa,50,406,19,431,-26,404
81J001,"CollegeAmerica, Phoenix",41,435,12,452,-19,437
19Y573,Arkansas State University,75,331,2,342,-16,330
55J999,Universidad Mayor de San Simón,60,349,1,358,13,377
36X273,University of El Imam El Mahdi University,75,465,-2,467,27,507
13E533,Bergische Universität Gesamthochschule Wuppertal,63,368,0,376,18,401
19J309,University of Vaasa,63,339,-18,330,9,353
17G618,Rose-Hulman Institute of Technology,50,353,-19,342,22,379
46D983,Queensland University of Technology,50,470,14,488,0,493
83L138,Hanseo University,343,403,-6,403,-32,383
64A955,University of Pune,287,345,-1,353,34,393
92Y909,Indiana University-Purdue University at Columbus,71,418,-1,423,16,449
10Z074,Karatina University,71,365,14,387,34,421
55Q198,Cyprus College,686,315,0,325,-10,320
86Q807,Fachhochschule Schmalkalden,42,439,25,469,-22,446
65Q916,Southwestern Assemblies of God University,13,427,19,451,-5,447
79G276,Shirayuri Women's College,32,348,5,361,47,412
59S059,Université de Toulouse,22,505,7,515,-13,512
97S756,Voronezh State Medical Academy,50,361,17,386,-16,368
44I787,Polytechnic Ibadan,86,413,-7,412,0,424
01F973,North Dakota State University,50,508,-20,490,-4,510
63K747,Fahad Bin Sultan University,22,360,19,387,25,409
31T748,University School of Physical Education,121,328,2,339,-31,312
87D224,Tashkent State Technical University,63,356,-3,361,-11,358
85X737,Sonoma State University,35,273,5,289,-19,270
02G405,Novosibirsk State Technical University,50,411,-6,411,-10,413
65U704,Irish International University (Distance Education),63,386,-7,386,-27,371
32U386,Pennsylvania State University - Milton S.Hershey Medical Center,103,338,-5,342,8,358
14W862,Lynchburg College,50,397,-7,397,35,444
03T072,Universidad del Istmo,86,469,3,476,27,513
47R337,St. Mary College,14,351,0,359,-9,357
72M944,College of St. Elizabeth,50,484,-1,486,9,509
89Q562,Logistics Engineering University of PLA,125,399,-15,391,-63,344
40T387,Georgetown University,15,415,7,428,-11,423
38E562,Universidad México Internacional,63,324,7,340,3,345
49N972,Open University of the Netherlands,46,302,-20,292,-6,300
42M242,Tomsk State Pedagogical University,29,391,-8,390,-18,384
72W379,Université de Batna,63,357,1,366,0,372
43J361,"Universidad Católica Boliviana, La Paz",10,382,1,390,-14,384
97M192,Bezalel Academy of Art and Design,60,338,13,360,30,389
80D308,Kankakee Community College,63,267,-19,259,56,327
52L504,University of Applied Sciences of Moldova,15,402,-8,400,-27,386
56A233,Hankuk Aviation University,113,484,-16,471,30,521
88D896,Ecole Spéciale de Mécanique et d'Electricité,14,295,6,311,34,346
55G948,St. Louis University,641,326,-20,315,-8,322
60T753,Qom University of Medical Sciences,212,389,-12,384,64,462
46M067,Bauhaus Universität Weimar,87,402,-5,403,29,443
06P007,High Institute for Banking & Financial Studies,52,470,-2,472,29,514
90D506,Dhaka International University,1047,364,21,393,19,408
07X537,University of Arkansas (System),86,453,2,459,-45,425
91L877,Basilicata University Potenza,22,363,-6,365,24,399
77N411,Universidad Autónoma del Noreste,44,429,4,438,4,450
89F378,Universidad Católica de Santa Fé,15,484,15,502,-10,498
37T781,Katholische Universität Eichstätt,105,391,-12,386,-15,385
22Z022,Aga Khan University,105,420,-11,415,-8,421
09L412,State University of New York Downstate Medical Center,29,302,-3,309,-24,290
78U280,University of Baguio,90,452,-21,436,-44,413
