school_ID,school_name,n_test_takers,mean_reading_score,mean_math_score,mean_writing_score
95O766,Louisiana State University in Shreveport,996,246,788,580
86Y764,Ecole Supérieure de Commerce de Pau,596,319,405,668
55O898,Illinois Benedictine University,903,721,524,698
86E042,Science University of Tokyo in Yamaguchi,203,544,269,751
27F967,Illinois Institute of Technology,299,414,466,236
76A037,Quinnipiac College,774,406,589,606
28Z164,Livingstone College,671,499,589,375
70V930,Technical University of Mining and Metallurgy Ostrava,719,632,778,797
97B396,Haynal Imre University of Health Sciences Budapest,112,351,688,459
78J757,Universidad Técnica de Oruro,910,248,656,259
09R104,Universidad México Internacional,909,667,327,226
08X496,Katholische Fachhochschule Norddeutschland,612,320,750,218
96Q734,Siam Technology College,260,411,787,262
11E365,Art University,513,750,394,500
94I178,People's University of Bangladesh,233,729,330,275
35W841,Fachhochschule Düsseldorf,620,532,487,523
71Q706,Tottori University of Environmental Studies,560,629,533,563
14K875,University of Bridgeport,708,396,467,549
37L648,"Indian Institute of Technology, Madras",7,381,382,450
65C331,Universitas Muslim Indonesia,200,720,543,275
10V401,"Universidad Nacional Experimental de los Llanos Occidentales ""Ezequiel Zamora""",955,690,406,764
34K867,Tsukuba University,789,436,661,311
22C376,Universidad de Ciencias y Humanidades,667,430,562,433
56W911,Francis Marion University,810,575,404,652
79H360,Patuakhali Science and Technology University,1042,460,511,649
08K396,"Washington State University, Tri-Cities",996,650,328,349
06B347,University of Alanta,958,594,786,656
89B307,McGill University,725,332,535,430
51Y590,East-West University,585,691,617,226
76I973,Lebanese American University,321,527,669,366
67G513,Universitas Pekalongan,815,696,782,756
89T686,University of Arizona,454,278,742,727
74D455,Drzavni Univerzitet u Novom Pazaru,834,251,736,222
27P548,The College of New Jersey,286,515,392,366
07V943,Institute of Finance,243,596,471,729
56Z204,Miles College,203,262,600,590
76R749,Central Mindanao University,1035,709,402,711
84F200,Universidad Católica de Occidente,329,386,561,549
92A916,Tokushima Bunri University,1003,779,668,393
67Y890,Bangalore University,372,243,695,399
16N674,"South-West University ""Neofit Rilski""",784,363,467,742
76L039,"University of Wales Institute, Cardiff",878,491,410,761
17C499,University of Nevada - Las Vegas,50,412,592,236
28S777,Mekelle University,668,712,750,289
22E585,L.N. Gumilyov Eurasian National University,689,254,332,354
40G891,Ueno Gakuen College,728,760,618,498
24A919,Aga Khan University,141,796,382,240
12F949,Tartu Health Care College,301,737,624,469
09H383,Black Hills State University,319,667,539,443
40O360,Jawaharlal Nehru Agricultural University,25,265,216,528
51R495,Universidad de Playa Ancha de Ciencias de la Educacion,358,729,486,275
96F248,Lappeenranta University of Technology,224,221,302,519
69M754,Chiang Mai Rajabhat University,139,477,771,582
15U814,Tribhuvan University Kathmandu,1025,208,239,202
94N713,Mersin University,821,425,204,422
08Z474,Virginia Intermont College,946,333,732,292
89J699,Instituto de Enseñanza Superior del Ejército,650,320,671,661
33V266,Lynchburg College,504,769,560,457
07N028,University of Great Falls,850,367,228,561
49J032,University of Canterbury,122,617,502,505
34V775,Victoria University,821,375,258,739
44K568,Sumy National Agrarian University,605,675,288,364
44S584,Universität Bielefeld,248,585,217,316
44H910,Syracuse University,1021,754,375,225
73S089,"National Academy of Music ""Pantcho Vladigerov""",249,603,535,743
86U730,New Economic School,316,446,792,429
35V071,National Cheng Kung University,196,482,218,766
43V251,Kobe Design University,534,579,491,735
59Y774,North Carolina Wesleyan College,948,485,650,702
89U065,Bethany College Kansas,607,748,219,709
88H233,"Allahabad Agricultural Institute, Deemed University",495,750,593,672
97U960,Loras College,14,680,414,674
27F649,Private College of Dentistry and Pharmacy,446,786,541,303
27E658,Calvary Bible College,321,275,287,636
35P699,Sejong University,141,477,620,408
53U025,Ecole Nationale Supérieure des Mines de Douai,692,435,575,661
09V143,Rovaniemi University of Applied Sciences,495,747,555,338
38G691,Université d'Abobo-Adjamé,33,799,551,409
53X597,Campion College,990,598,477,654
80Y563,Divine Word College,709,344,471,566
41H556,Rockhurst College,530,799,434,595
17W016,Norwegian Teacher Academy for Studies in Religion and Education,647,558,257,626
62L221,University of Liberia,217,760,471,539
00C324,Caldwell College,520,698,268,600
29Y559,Wentworth Institute of Technology,228,410,722,620
23G042,Universidad Adolfo Ibáñez,713,606,684,242
11G264,Lutheran Bible Institute of Seattle,970,421,666,323
68J366,Shonan Institute of Technology,67,204,398,281
45T202,Griffith College,916,542,611,214
09T233,Information and Communications University,870,599,638,536
65K115,The Bahá'í Institute For Higher Education (BIHE),608,383,404,376
77P895,Gannon University,685,356,365,244
80P798,National Chiao Tung University,809,734,542,685
50K900,University of Wyoming,1045,283,302,673
42J453,Telugu University,640,675,422,699
53L745,Whitworth College,635,483,707,231
65S741,Philippine Normal University,437,216,770,682
87D578,University of Charleston South Carolina,166,753,788,273
08M943,New Hampshire College,490,798,678,748
43Y141,Dickinson College,471,514,607,353
02X316,Capella University,527,291,628,605
38O011,National Dairy Research Institute,576,583,675,532
81F169,Universität Linz,201,370,648,718
55M253,Gulhane Military Medical Academy,770,686,456,690
45X474,"Fachhochschule Westküste, Hochschule für Wirtschaft und Technik",164,525,448,779
86V226,Mondragon Univertsitatea,985,470,408,724
96P638,Leeds Metropolitan University,751,633,207,534
07D418,University of Health and Science,698,215,568,227
25W424,Juntendo University,569,591,439,531
88X442,The New College,170,512,261,596
60L773,"Curtin University of Technology, Sarawak Campus",429,435,259,244
45R749,Kurume Institute of Technology,114,538,744,713
93D132,Ambassador University,743,513,458,576
15V657,The Rockefeller University,126,715,262,311
67H965,Karwan Institute of Higher Education,17,429,200,240
82B458,Rosemont College,13,279,472,494
38H740,Universität Hildesheim,560,326,669,625
32I098,"University for Information Science and Technology  ""St. Paul The Apostle"" ",949,415,746,388
99J407,Sinte Gleska University,929,454,321,596
54P905,Lincoln University,894,504,480,607
39V704,La Salle Universities - International Programmes,668,581,530,471
69C298,St. Bonaventure University,848,246,427,477
16M407,"Universidad CAECE, Buenos Aires",810,354,349,768
59X332,Universidad Nacional de Entre Ríos,35,294,734,531
34R223,Northern Institute of Technology Management (NIT),512,378,694,753
67Z282,Fresno City College,483,655,457,275
55R653,Huachiew Chalermprakiet University,819,686,411,371
03Q447,Anna Maria College,591,551,514,339
89L876,Rajasthan Technical University,229,219,765,657
48L743,Ecole Superieure Robert de Sorbon,996,300,248,686
50V053,Universitas Pelita Harapan,253,431,755,298
17R403,"Arizona State University, Tempe Campus",247,606,545,434
66Q165,Universidad Metropolitana,280,553,693,216
59S752,Halic University,305,563,620,663
76Z238,University of Agriculture and Veterinary Medicine Iasi,239,445,513,240
29D332,"Bowling Green State University, Firelands",532,522,587,212
54L137,Universitas Katolik Soegijapranoto,316,286,499,716
10P463,Azabu University,639,491,503,766
30F418,Meijo University,82,736,656,201
45J561,Rajendra Agricultural University,41,795,215,224
22N725,Kobe International University,580,675,419,797
17A594,Universidade de Cruz Alta,658,251,720,529
19J608,Taiyuan University of Technology,144,394,502,310
84E296,Kostanai State University,126,791,376,285
40W941,University of Evansville,197,357,670,473
23Y916,Princess Nora Bint Abdulrahman University,326,759,465,323
84J182,"Irish University Business School, Cebu",295,567,572,693
02J660,"Islamic Azad University, Arak",358,711,500,777
06E242,Mississippi College,940,593,255,512
01Y493,Osaka Gakuin University,922,539,524,269
02C644,Samara State Technical University,231,744,336,309
32D091,St. Clair College,426,581,400,606
02W766,South Eastern University of Sri Lanka,874,734,797,536
58I880,Kigali Institute of Science & Technology,523,276,358,463
53Z676,Kalmyk State University,877,541,528,492
86D458,University of Bunkyo,83,755,688,473
33V973,American Film Institute Center for Advanced Film and Television Studies,322,664,501,775
99S374,Universidad Atlantida Argentina,262,525,228,692
47G540,Fachhochschule Frankfurt am Main,56,340,480,455
78K041,Gondar University,695,402,525,400
83H345,University of Catania,214,602,290,612
45T574,American Conservatory of Music,757,491,735,492
19Y216,Kermanshah University of Medical Sciences,913,773,231,794
41A684,William Penn College,312,477,298,558
26S955,Zambian Open University,753,216,364,656
79L696,Devi Ahilya University of Indore,173,782,526,425
10T544,Hagerstown Community College,334,703,622,519
15G812,Elizabethtown College,648,246,635,445
26P503,Moi University,825,686,251,335
45D888,Universidad de América Bogotá,110,767,566,442
83F149,Grantham University,825,447,206,381
79D356,Zawiya University,84,551,336,227
52F381,Coe College,323,583,365,486
22Y725,International Sakharov Environmental University,312,209,683,597
26N031,Barcelona Graduate School of Economics,793,314,612,693
84L124,North Island College,983,407,467,369
78N090,College of Technology at Riyadh,876,502,204,327
23P088,Universidad Santa María Campus Guayaquil,30,800,278,534
83J719,Ecole Nationale Supérieure de Chimie de Lille,48,255,698,515
36G965,Yanbu Technical Institute,1004,778,309,271
02B749,Veer Kunwar Singh University,741,392,528,695
88A807,Polytechnic of Namibia,24,799,437,600
69C585,North Kazakhstan State University,833,585,485,607
08Z705,University “Pavaresia” Vlore,48,498,785,368
95Q402,Albany State University,661,271,409,289
22T214,Universidad Adventista de Centro América,668,393,243,741
70M133,Texas Lutheran University,786,464,553,760
87W501,Royal University of Agriculture,729,516,368,676
87S585,Ecole Nationale de la Météorologie,813,358,512,245
82T625,Trinity College of Music,565,485,215,717
16F715,University of Education Hradec Kralove,371,778,464,546
39Z093,PTPL College,129,358,711,382
25Q945,Vinnica National Technical University,235,426,626,336
19T967,Northwest Normal University Lanzhou,345,265,798,387
58H411,Universität Graz,536,477,768,670
51F809,University of Bunkyo,618,587,780,576
97A228,Universidad La Republica,387,298,677,434
80G772,Universidad Europea de Madrid,702,568,565,532
03R942,Fukuyama University,533,603,327,730
06Z823,Bahcesehir University,548,363,422,636
52L988,Universidade de Mogi das Cruzes,502,293,531,487
94H437,Elrazi College Of Medical & Technological Sciences,461,725,772,571
32L651,National School of Political and Administrative Studies Bucharest,768,557,272,688
64B808,George Brown College,921,539,208,439
54F183,Kansai Gaidai University,305,554,554,407
75L483,Langara College,756,297,679,536
00F421,Punjabi University Patiala,984,717,279,268
01A467,Instituto Tecnológico de Querétaro,504,492,280,294
45P547,Nizhny Novgorod State Technical University,151,368,213,794
54K415,Sojourner-Douglass College,227,765,206,202
82C486,Davidson College,211,350,660,467
39S027,Lviv National University Ivan Franko,711,609,503,541
23O050,"Islamic Azad University, Sanandaj",581,342,220,474
51O863,Nicholls State University,785,541,733,499
27Q403,"Federal Polytechnic Bauchi, Nigeria",120,472,736,763
49R794,Universidad Internacional Menéndez Pelayo,610,283,201,709
30D094,Hokkaido Information University,476,281,724,695
03H375,Moi University,558,346,390,635
85B761,Urmia University,190,504,413,565
42E157,"Davenport College of Business, Grand Rapids",106,213,559,202
07N008,Université de Kikwite,877,400,396,680
20P674,Japan Women's University,549,281,314,346
64S220,Chowan College,636,552,287,217
71Q548,Universidad de Morón,261,250,647,410
61G306,Eckerd College,316,769,458,531
98A490,National Pedagogical University M. Dragomanov ,778,756,363,539
15N698,Universidad de Medellín,236,344,484,566
30I419,University of North West,740,320,276,764
25N114,EPF Ecole d'Ingénieurs,370,710,798,466
28J267,University of Brighton,971,332,361,275
54I029,Universidad Santa Fe,986,307,642,717
82K597,Reformed Church University,81,695,739,709
13N461,University of Miami,661,325,204,420
16C235,Arid Agriculture University,711,539,690,431
44K982,Universidad Dominicana O&M,328,479,795,686
44W044,Noakhali University of Science and Technology,954,289,268,352
45E951,Southern Polytechnic State Univerisity,924,399,409,691
50U499,Eastern Mediterranean University,613,396,552,360
05C500,Al Rasheed University College,810,616,675,575
30X261,Ural Gorkij State University,822,306,334,622
02I294,College of Computer Science in Lodz,444,516,281,632
26V472,Trinity Theological Seminary,456,746,708,202
07K820,Central Institute of Higher Tibetan Studies,920,429,569,320
01V852,Stavropol State Technical University,641,539,469,589
01F732,Obninsk State Technical University for Nuclear Power Engineering,77,654,520,605
22Z146,Copenhagen University,714,638,617,651
89L532,Elizabethtown College,652,382,362,290
99Y869,Dong-A University,320,619,421,732
93J185,Sardar Patel University,501,361,791,777
66J836,Police Academy in Bratislava,625,288,252,715
89C373,Wake Forest University,258,475,577,335
59S555,Ecole Nationale Supérieur d'Ingénieurs de Constructions Aéronautique,217,506,408,320
48O661,University of Applied Sciences Basel (FHBB ),533,382,548,602
55D617,"Arizona State University, Polytechnic Campus",91,711,467,241
07M157,Sumy National Agrarian University,21,313,622,503
62J146,Kostanai State University,1011,444,361,664
08V675,European Business School Schloß Reichartshausen,973,249,287,410
09F410,Université du Littoral Cote d'Opale,566,237,702,372
55G658,Burapha University,776,677,722,738
93H121,Université des Sciences et de la Technologie Houari Boumediène,242,514,475,644
11T713,Zonguldak Karaelmas University,147,567,519,398
08N854,Spring Hill College,11,438,220,567
97Y588,Ambo University,633,218,569,425
74O030,Universidad El Bosque,828,639,332,359
06K243,Kafr El-Sheikh University,869,687,502,601
