school_ID,school_name,n_test_takers,mean_reading_score,mean_math_score,mean_writing_score
85F805,National University,825,720,597,776
20X448,Georgia State University,132,566,655,518
79Q351,Takestan Islamic Azad University,657,662,794,794
31I903,Korea National Open University,143,793,484,740
53C157,Jiangsu University of Science and Technology,448,670,752,704
27A744,St. Andrew's University,645,439,290,756
30X070,State Maritine Academy,267,718,220,499
49L333,Universitas Klabat,811,671,705,425
31G700,School of Management,93,265,724,698
50A868,Firat (Euphrates) University,183,421,469,674
58L292,Perlis Islamic Higher Learning Institute,545,332,611,741
54C071,Universidade da Amazônia,449,222,778,510
90P447,"Politécnico Columbiano ""Jaime Isaza Cadavid""",620,348,700,661
16V186,Western Baptist College,98,380,764,305
89D695,Imam Reza University,401,696,230,472
60D332,Widener University,748,683,335,779
72Z491,Baker College of Port Huron,133,349,613,713
07O105,Shenyang Jianzhu University,184,562,704,512
00E687,"Central University of Technology, Free State",64,748,686,677
15U486,University of South Carolina - Sumter,227,367,361,601
23F756,American University,1000,455,770,468
66U575,"Universidad Técnica ""Federico Santa María""",164,703,314,453
54W086,Portland Community College,518,399,374,745
13H738,State University of New York Empire State College,314,499,677,718
07N185,Himachal Pradesh Agricultural University,145,356,601,628
87H103,Missouri Western State College,86,799,632,510
83T632,State Maritine Academy,67,478,665,642
42L346,Harrington Institute of Interior Design,593,428,458,709
08L367,Pennsylvania State University,855,411,671,535
52B886,York University,94,758,568,216
51F285,Atish Dipankar University,611,388,362,364
69G992,Regent International University,950,500,435,767
29L953,"Fachhochschule Ulm, Hochschule für Technik",187,390,240,750
81L560,Hochschule Vechta,450,759,211,373
36N133,Tver State University,683,591,411,703
47Y806,University of Colombo,771,354,504,347
24H963,University of Nijenrode,44,470,412,621
94W863,Zonguldak Karaelmas University,29,346,284,425
00B138,Lappeenranta University of Technology,240,661,399,503
89I615,Hotelschool The Hague,8,316,297,683
90I175,Ohu University,690,231,539,780
15O858,Makerere University,247,585,710,603
29I582,Tatung Institute of Technology,823,510,323,398
75X687,Universidad de Antioquia,20,657,674,781
33W807,Ghana Telecom University College,644,247,452,290
88Z014,Technological University (Dawei),968,628,656,758
94L759,Ecole Supérieure d'Ingénieurs de Marseille,468,260,283,334
14J168,Pennsylvania College of Optometry,597,694,583,334
74I997,Arthur D. Little Management Education Institute,1027,411,624,604
72J195,University of Manchester,705,543,455,747
32H808,Buraydah College for Applied Medical Sciences,923,445,420,294
56Q822,Universitat Jaume I de Castellón,552,515,705,365
97H093,Politeknik Negeri Pontianak,422,323,653,563
39J162,Jamia Millia Islamia University,681,391,704,578
58N322,California School of Professional Psychology - Fresno,842,794,782,792
81P071,Adelphi University,291,632,395,236
58M018,Moldova State University,290,795,592,481
39T310,Technikum Wien,183,729,244,759
30R841,University of Texas at San Antonio,445,273,787,577
94B657,ITT Technical Institute Portland,960,490,241,274
53E115,Zetech College,579,312,787,248
54M171,American Conservatory Theater,793,540,405,709
11O727,Far Eastern State Technical University,1028,716,471,744
73F944,Creighton University,922,350,405,365
63O806,Universidad de Flores - Buenos Aires,748,323,753,511
76W741,International Institute for Geo - Information Science and Earth Observation,434,716,371,228
99K032,University of Faisalabad,805,658,651,692
65G205,St. Marianna University School of Medicine,1031,781,375,271
95U641,University of Trento,646,218,603,787
80Q874,Agricultural University of Poznan,968,576,451,530
51N762,King Mongkut's University of Technology North Bangkok,618,229,268,657
10J018,Excelsior College,111,319,305,735
10P536,St. Luke' s College of Nursing,967,428,691,273
42M782,Technical University of Timisoara,400,283,415,325
61V555,Sage Graduate School,234,492,770,544
46M090,"Instituto Politécnico Nacional, Campus Guanajuato",1046,699,797,554
94T132,South West University Yucai College,935,771,258,368
99I584,University of Northern British Columbia,108,262,404,250
42O289,Louisiana State University and Agricultural and Mechanical College,221,453,709,229
28Y313,"Academy of Economics ""Dimitur A. Tscenov""",404,553,430,550
41W607,Sherman College of Straight Chiropractic,881,718,508,456
11M853,Moscow State University of Technology (Stankin),499,340,733,230
99N683,Tajik National University,915,216,784,778
31Y549,Università Bocconi,589,307,674,253
18P073,Arab Academy for Science & Technology,614,623,272,739
42V728,Benguet State University,778,339,560,253
17X354,Central America Health Sciences University (Belize Medical College),1025,460,458,333
21K963,Bourgas Free University,469,219,458,262
64J244,Universitas 17 Agustus 1945 Samarinda,1024,309,712,713
37P464,Aichi Bunkyo University,806,226,770,467
49C738,Benguet State University,1025,549,593,517
69R971,Coventry University,349,365,567,418
13O115,Chongqing Three Gorges University,234,726,778,312
47S718,Colgate University,346,798,334,331
42T510,Andrews University,788,264,535,482
05J320,Hyupsung University,1041,599,713,683
04R690,Illinois Benedictine University,171,506,216,783
23C186,Simpson College,331,423,292,465
56Y395,Sri Lanka Institute of Advanced Technical Education,1040,747,762,544
41S809,Universidad del Valle del Cauca,665,682,317,273
15T052,Salahddin University (Kurdistan Region),809,461,221,514
26B793,Wells College,778,430,514,398
55L717,Sardarkrushinagar Dantiwada Agricultural University,959,581,796,228
10P738,Danish University of Education,684,693,650,750
90P229,Amman Arab University for Higher Studies,515,376,216,509
09J924,Yildiz Technical University,436,474,699,547
59K844,Pacifica Graduate Institute,72,281,331,495
66H936,Bloomsburg University of Pennsylvania,906,532,236,445
42D387,University College of Nabi Akram,513,212,527,546
05Q556,Hellenic Open University,73,694,407,636
33L342,University of Burdwan,898,508,216,203
98C195,Aurora University,883,431,654,666
68A209,Water Resources University,481,642,571,730
86G311,Chubu University,112,352,650,429
49K261,Singapore Management University,483,232,242,646
06C040,Shimane University,902,248,241,461
67Z569,Université Paris Nord (Paris XIII),285,382,751,772
97C308,Trent University,435,351,203,258
77H353,Northern State Medical University,589,710,600,704
46E315,Southern Illinois University at Carbondale,790,366,598,552
67H676,Yazd University,998,478,762,416
91T674,Zabol University,128,518,572,367
13U649,University of Dubuque,193,544,601,755
34Z399,Kumamoto University,155,637,597,280
50N339,St. Vincent College,523,698,709,261
25Z538,Universidade de Santo Amaro,271,595,634,623
94X203,University of Houston,203,271,216,319
99O631,Universidad Hispanoamericana,262,291,605,231
26A772,IT University of Copenhagen,748,580,629,600
64X831,Lithunian Veterinary Academy,65,730,533,214
89A951,Mustafa International University,336,411,521,642
56T886,University of Switzerland,655,741,565,696
74H432,University of Batangas,41,536,340,499
15R096,Academy of Economics in Cracow,367,222,739,790
98L684,Belarussian State University,1039,536,293,681
15L852,Baylor University,922,673,714,464
75S513,College of Charleston,634,505,332,246
65N279,Baghlan University,842,686,278,785
01J762,University of the Philippines Diliman,123,628,691,365
60E444,Ecole Supérieure Internationale d'Administration des Entreprises,81,246,546,735
03N008,Bashkir State University,821,598,545,800
54Q646,Franklin W. Olin College of Engineering,332,275,357,275
95O303,Technische Universität Ilmenau,95,319,524,460
39E248,Universidade Mackenzie,42,491,488,579
03H137,Kurgan International University,72,302,729,352
35Z128,University of Silvaner,352,551,239,606
62O667,American University in Bulgaria,381,348,301,496
39J442,Kyoto University of Foreign Studies,1019,312,366,695
84V741,Wisconsin School of Professional Psychology,457,251,477,278
44H343,University of Engineering and Technology Taxila,461,250,578,570
40N456,Khalifa University,282,740,605,562
97N440,Jones College,796,544,299,398
18V626,Lamphun College of Agriculture and Technology,201,323,798,505
73E814,Lagos City Polytechnic,524,390,538,556
03F222,University of West Alabama,676,663,487,306
08P121,St. Joseph's University,266,705,346,208
26V713,St. Petersburg State University of Engineering and Economics,8,786,605,267
53G891,Al-Aqsa University,1029,609,349,284
91I707,University of Western Ontario,741,484,486,721
58L822,Kagoshima University,691,767,352,454
25W304,Hartford Graduate Center (Rensselaer at Hartford),369,527,646,303
90P732,"University of Nottingham, Malaysia Campus",813,509,554,688
27L975,National Yang Ming Medical College,47,410,549,619
44X378,Espam Formation University,573,680,656,265
22B484,Conway School of Landscape Design,291,686,505,744
69C538,Eastern Connecticut State University,966,345,595,410
93Z959,Shihezi University ,184,302,647,758
75K439,New England College of Optometry,1042,302,260,305
76P250,Cheju National University of Education,380,211,374,432
41T169,Maine Maritime Academy,395,431,659,341
35Q471,Universidad Ulises Francisco Espaillat,545,519,218,249
21H426,West Coast University,249,315,739,623
22P876,St. Petersburg State University,459,251,687,508
32H063,Shanxi Normal University,843,541,359,493
09U510,College of Charleston,840,421,558,218
86V787,"Islamic Azad University, Sanandaj",282,474,455,469
02W859,Nagoya City University,683,408,757,415
94J370,Gdansk Management College,948,683,204,301
92Q239,"Islamic Azad University, Ahar",557,334,298,488
29D161,University of Management and Marketing,440,612,481,734
28P905,Mills College,956,507,722,442
00I371,Bangabandhu Sheikh Mujibur Rahman Medical University,808,687,380,559
13Q972,Coleman College,10,527,420,298
05F053,Janos Selye University,191,416,730,766
10M810,Huaihai Institute of Technology,898,720,755,426
09Z629,Centre Universitaire de Tebessa,147,421,539,746
01B164,Appalachian State University,989,515,655,580
79G735,University of Massachusetts Medical Center at Worcester,640,427,327,465
37U441,Universidad Nacional Agraria,56,200,602,293
98R930,Ritsumeikan University,190,500,658,217
33L570,Galway Mayo Institute of Technology,415,794,286,579
30N256,University of Aquila,426,326,324,577
03P063,University of Central Greece,139,685,252,636
58X192,AISECT University,275,606,771,529
79J351,Adventist University of Central Africa,832,250,599,534
28R649,Universitas Proklamasi 45,386,471,471,651
24M713,Taejon University,400,385,629,650
21Y272,Dadabhoy Institute of Higher Education,961,627,595,523
50E096,Rostov State Medical University,158,696,273,344
92D287,"University of Toronto, Scarborough",915,666,554,613
66L506,Capital University Law School,576,776,549,384
63L172,South China University of Technology,771,486,601,792
85Y130,Richmond University - The American International University in London,152,782,474,379
00L487,Universidad de Castilla La Mancha,644,686,220,520
39R269,University of Medicine Magway,729,528,587,372
13C557,Perm State Technical University,1002,436,499,270
16Y459,"Florida Metropolitan University, Tampa College Lakeland",431,216,684,754
98L408,Fachhochschule Würzburg - Schweinfurt,1011,599,526,538
07A525,Kazan State Academy of Architecture and Civil Engineering,978,219,245,464
52C955,Université de Biskra,695,268,339,341
